name,description,type,power_pts,base_dmg
Constrict,Has a ~10% chance to lower the target's Speed by 1 stage.,11,35,10
Conversion,The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.,11,30,
Counter,"Almost always goes last; if an opponent strikes with a Normal- or Fighting-type attack before the user's turn, the user retaliates for twice the damage it had endured.",4,20,-1
Crabhammer,Has a high critical hit ratio.,15,10,90
Cut,Damages the target.,11,30,50
Defense Curl,Raises the user's Defense by 1 stage.,11,40,
Dig,"On the first turn, the user digs underground, becoming uncontrollable, and evades all attacks. Swift may still hit a Pokemon underground. On the second turn, the user attacks.",9,10,100
Disable,One randomly selected move of the target's cannot be selected for 1-7 turns. Disable only works on one move at a time. The target does nothing if it is about to use a move that becomes disabled.,11,20,
Dizzy Punch,Damages the target.,11,10,70
Double Kick,"Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.",4,30,30
Double Team,Raises the user's Evasion by 1 stage.,11,15,
Double-edge,The user receives 1/4 recoil damage.,11,15,100
Doubleslap,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",11,10,15
Dragon Rage,Always deals 40 points of damage.,2,10,40
Dream Eater,Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.,13,15,100
Drill Peck,Damages the target.,6,20,80
Earthquake,Damages the target.,9,10,100
Egg Bomb,Damages the target.,11,10,100
Ember,Has a ~10% chance to burn the target.,5,25,40
Explosion,"The Defense stat of other Pokemon is halved against this attack, essentially doubling the move's base power; causes the user to faint.",11,5,170
Fire Blast,Has a ~30% chance to burn the target.,5,5,120
Fire Punch,Has a ~10% chance to burn the target.,5,15,75
Fire Spin,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",5,15,15
Fissure,The target faints; doesn't work on faster or higher-leveled Pokemon.,9,5,999
Flamethrower,Has a ~10% chance to burn the target.,5,15,95
Flash,Lowers the target's Accuracy by 1 stage.,11,20,
Fly,"On the first turn, the user flies into the air, becoming uncontrollable, and evades most attacks. Swift may still hit a Pokemon in the air. On the second turn, the user attacks.",6,15,70
Focus Energy,"Decreases critical hit ratio in-game, but raises it in Pokemon Stadium.",11,30,
Fury Attack,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",11,20,15
Fury Swipes,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",11,15,10
Glare,Paralyzes the target. This move works on Ghost-type Pokemon.,11,30,
Growl,Lowers the target's Attack by 1 stage.,11,40,
Growth,Raises the user's Special by 1 stage.,11,40,
Guillotine,The target faints; doesn't work on faster or higher-leveled Pokemon.,11,5,999
Gust,Damages the target.,11,35,40
Harden,Raises the user's Defense by 1 stage.,11,30,
Haze,"Eliminates any stat modifiers from all active Pokemon. Also removes Leech Seed, Reflect and Light Screen from either Pokemon and cures the opponent of any status conditions (including Toxic). If the user of Haze has Toxic poisoning, it will be downgraded to regular poisoning.",10,30,
Headbutt,Has a ~30% chance to make the target flinch.,11,15,70
Hi Jump Kick,"If this attack misses the target, the user receives 1 HP of damage.",4,20,85
Horn Attack,Damages the target.,11,25,65
Horn Drill,The target faints; doesn't work on faster or higher-leveled Pokemon.,11,5,999
Hydro Pump,Damages the target.,15,5,120
Hyper Beam,"In Stadium, the user becomes uncontrollable during its next turn. Otherwise, the user attacks on turn one but it doesn't recharge on turn two if it KOs the target, breaks its Substitute or misses entirely.",11,5,150
Hyper Fang,Has a ~10% chance to make the target flinch.,11,15,80
Hypnosis,Puts the target to sleep.,13,20,
Ice Beam,Has a ~10% chance to freeze the target.,10,10,95
Ice Punch,Has a ~10% chance to freeze the target.,10,15,75
Jump Kick,"If this attack misses the target, the user receives 1 HP of damage.",4,20,70
Karate Chop,Has a high critical hit ratio.,11,25,55
Kinesis,Lowers the target's Accuracy by 1 stage.,13,15,
Leech Life,Restores the user's HP by 1/2 of the damage inflicted on the target.,1,15,20
Leech Seed,"The user steals 1/16 of the target's max HP (or more if used in conjunction with Toxic) until either Pokemon uses Haze or the target is switched out or KO'ed; does not work on Grass-type Pokemon, but will work against Pokemon behind Substitutes.",8,10,
Leer,Lowers the target's Defense by 1 stage.,11,30,
Lick,Has a ~30% chance to paralyze the target. This move fails against Psychic-type Pokemon.,7,30,20
Light Screen,The user receives 1/2 damage from Special attacks until it switches out or either Pokemon uses Haze.,13,30,
Lovely Kiss,Puts the target to sleep.,11,10,
Low Kick,Has a ~30% chance to make the target flinch.,4,20,50
Meditate,Raises the user's Attack by 1 stage.,13,40,
Mega Drain,Restores the user's HP by 1/2 of the damage inflicted on the target.,8,10,40
Mega Kick,Damages the target.,11,5,120
Mega Punch,Damages the target.,11,20,80
Metronome,"The user performs a randomly selected move; almost any move in the game could be picked. Metronome cannot generate itself, Struggle or any move that the user already knows.",11,10,
Mimic,"This move is temporarily replaced by one of the target's moves; after one PP is subtracted to use this move, the replacement move will retain Mimic's remaining PP. The user can select any of the target's moves to copy until the end of the battle or until the user switches out. There are no move restrictions on Mimic other than itself and Struggle. However, in a link battle, Mimic will copy one of the target's attacks randomly.",11,10,
Minimize,Raises the user's Evasion by 1 stage.,11,20,
Mirror Move,"The user performs the last move executed by its target; if applicable, an attack's damage is calculated with the user's stats, level and type(s). This moves fails if the target has not yet used a move. Mirror Move also cannot copy itself.",6,20,-1
Mist,"Protects the user from negative stat modifiers caused by other Pokemon until it switches out. The user's Accuracy and Evasion stats are also protected. Moves that cause negative stat modifiers as a secondary effect, such as Psychic, still deal their regular damage.",10,30,
Night Shade,Does damage equal to user's level. This move hits Normal-type Pokemon.,7,15,-1
Pay Day,The player picks up extra money after in-game battles; the money received is equal to: [user's level * 2 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.,11,20,40
Peck,Damages the target.,6,35,35
Petal Dance,The user attacks uncontrollably for 2-3 turns and then gets confused.,8,20,70
Pin Missile,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",1,20,14
Poison Gas,Poisons the target.,12,40,
Poison Sting,Has a ~20% chance to poison the target.,12,35,15
Poisonpowder,Poisons the target.,12,35,
Pound,Damages the target.,11,35,40
Psybeam,Has a ~10% chance to confuse the target.,13,20,65
Psychic,Has a ~30% chance to lower the target's Special by 1 stage.,13,10,90
Psywave,Randomly inflicts set damage between a minimum of 1 HP and a maximum of [1.5x the user's level] HP.,13,15,-1
Quick Attack,Usually goes first.,11,30,40
Rage,"The user attacks uncontrollably until it faints or its target faints. During this time, the user's Attack increases by 1 stage for each time it is hit by the target. If this move misses, the user continues to attack but has only a 1/256 chance to land a hit.",11,20,20
Razor Leaf,Has a high critical hit ratio.,8,25,55
Razor Wind,"The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.",11,10,80
Recover,"Restores 1/2 of the user's max HP. However, this move fails if the user's current HP is 511 or 255 HP below its value at full health.",11,20,
Reflect,The user receives 1/2 damage from Physical attacks until it switches out or either Pokemon uses Haze.,13,20,
Rest,"The user is cured of status effects (and confusion), and recovers full HP, but falls asleep for 2 turns (and then uses a third turn to wake up). However, this move fails if the user's current HP is 511 or 255 HP below its value at full health.",13,10,
Roar,Escapes from wild battles; fails automatically in trainer and link battles.,11,20,
Rock Slide,Damages the target.,14,10,75
Rock Throw,Damages the target.,14,15,50
Rolling Kick,Has a ~30% chance to make the target flinch.,4,15,60
Sand-Attack,Lowers the target's Accuracy by 1 stage.,9,15,
Scratch,Damages the target.,11,35,40
Screech,Lowers the target's Defense by 2 stages.,11,10,
Seismic Toss,Does damage equal to user's level. Hits Ghost-type Pokemon.,4,20,-1
Selfdestruct,"The Defense stat of other Pokemon is halved against this attack, essentially doubling the move's base power; causes the user to faint.",11,5,130
Sharpen,Raises the user's Attack by 1 stage.,11,30,
Sing,Puts the target to sleep.,11,15,
Skull Bash,"The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.",11,15,100
Sky Attack,"The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.",6,5,140
Slam,Damages the target.,11,20,80
Slash,Has a high critical hit ratio.,11,20,70
Sleep Powder,Puts the target to sleep.,8,15,
Sludge,Has a ~30% chance to poison the target.,12,20,65
Smog,Has a ~30% chance to poison the target.,12,20,20
Smokescreen,Lowers the target's Accuracy by 1 stage.,11,20,
Softboiled,"Restores 1/2 of the user's max HP. However, this move fails if the user's current HP is 511 or 255 HP below its value at full health.",11,10,
Solarbeam,"The user prepares on turn one, becoming uncontrollable, and then attacks on turn two.",8,10,120
Sonicboom,Always deals 20 points of damage.,11,20,20
Spike Cannon,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",11,15,20
Splash,Doesn't do anything (but we still love it).,11,40,
Spore,Puts the target to sleep.,8,15,
Stomp,Has a ~30% chance to make the target flinch.,11,20,65
Strength,Damages the target.,11,15,80
String Shot,Lowers the target's Speed by 1 stage.,1,40,
Struggle,"Used automatically when all of the user's other moves have run out of PP or are otherwise inaccessible. The user receives 1/4 recoil damage. Struggle is classified as a Normal-type move, so it is resisted by Rock-type Pokemon and cannot hit Ghost-type Pokemon at all.",11,1,50
Stun Spore,Paralyzes the target.,8,30,
Submission,The user receives 1/4 recoil damage.,4,20,80
Substitute,"The user takes one-fourth of its maximum HP to create a substitute; this move fails if the user does not have enough HP for this. Until the substitute is broken, it receives damage from all attacks made by other Pokemon. In-game, the user can still be inflicted with status effects and stat modifiers from other Pokemon, but this is fixed in Pokemon Stadium. If a Substitute breaks from a hit during a multistrike move such as Fury Attack, the user takes damage from the remaining strikes.",11,10,
Super Fang,This move halves the target's current HP.,11,10,-1
Supersonic,Confuses the target.,11,20,
Surf,Damages the target.,15,15,95
Swift,Ignores Evasion and Accuracy modifiers and will hit Pokemon even if they are in the middle of Fly or Dig. Has a 1-in-256 chance of missing.,11,20,60
Swords Dance,Raises the user's Attack by 2 stages.,11,30,
Tackle,Damages the target.,11,35,35
Tail Whip,Lowers the target's Defense by 1 stage.,11,30,
Take Down,The user receives 1/4 recoil damage.,11,20,90
Teleport,Escapes from wild battles; fails automatically in trainer and link battles.,13,20,
Thrash,The user attacks uncontrollably for 2-3 turns and then gets confused.,11,20,90
Thunder,Has a ~10% chance to paralyze the target.,3,10,120
Thunder Wave,Paralyzes the target.,3,20,
Thunderbolt,Has a ~10% chance to paralyze the target.,3,15,95
Thunderpunch,Has a ~10% chance to paralyze the target.,3,15,75
Thundershock,Has a ~10% chance to paralyze the target.,3,30,40
Toxic,"The target is badly poisoned, with the damage caused by poison doubling after each turn. However, Toxic poisoning will revert to normal poisoning if the poisoned Pokemon is switched out or uses Haze. Damage caused by Leech Seed will also increase as Toxic damage increases.",12,10,
Transform,"The user morphs into a near-exact copy of the target. Stats, stat modifiers, type, moves and appearance are changed; the user's level and HP remain the same and each copied move receives only 5 PP.",11,10,
Tri Attack,Damages the target.,11,10,80
Twineedle,"Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit. Has a ~20% chance to poison the target .",1,20,25
Vicegrip,Damages the target.,11,30,55
Vine Whip,Damages the target.,8,10,35
Water Gun,Damages the target.,15,25,40
Waterfall,Damages the target.,15,15,80
Whirlwind,Escapes from wild battles; fails automatically in trainer and link battles.,11,20,
Wing Attack,Damages the target.,6,35,35
Withdraw,Raises the user's Defense by 1 stage.,15,40,
Wrap,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",11,20,15
